
11520 atoms
2 atom types
   0.0000000000   80.0046997070 xlo xhi
   0.0000000000   16.8663997650 ylo yhi
   0.0000000000   77.4965972900 zlo zhi
   0.0000000000    0.0000000000    0.0000000000 xy xz yz

Masses

1 58.690000
2 16.000000

Atoms # spin

     1      1   11.34307000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737  
     2      1   11.34307000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737  
     3      1   24.67745000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
     4      1   24.67745000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
     5      1   4.67627000 	2.09632000 	0.00736000        -0.51638874 -0.81647984 -0.25826989  1.2737
     6      1   4.67627000 	10.52952000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
     7      1   18.01066000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
     8      1   18.01066000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
     9      1   38.01183000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    10      1   38.01183000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    11      1   51.34542000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    12      1   51.34542000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    13      1   31.34424000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    14      1   31.34424000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    15      1   44.67862000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    16      1   44.67862000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    17      1   64.67980000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    18      1   64.67980000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    19      1   78.01418000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
